Дата	N	Курс 100 EUR/UAH
2016-10-04	187	2912.4412
2016-10-05	188	2886.7274
2016-10-06	189	2903.4622
2016-10-07	190	2895.6767
2016-10-10	191	2878.6746
2016-10-11	192	2882.3121
2016-10-12	193	2864.1113
2016-10-13	194	2843.9755
2016-10-17	195	2846.7874
2016-10-18	196	2834.604
2016-10-19	197	2821.139
2016-10-20	198	2820.8607
2016-10-21	199	2822.2524
2016-10-24	200	2793.6526
2016-10-25	201	2792.5047
2016-10-26	202	2782.7225
2016-10-27	203	2794.7645
2016-10-28	204	2789.9676
2016-10-31	205	2784.6678
2016-11-01	206	2792.9198
2016-11-02	207	2820.7211
2016-11-03	208	2835.7351
2016-11-04	209	2831.8115
2016-11-07	210	2837.1669
2016-11-08	211	2828.6257
2016-11-09	212	2821.673
2016-11-10	213	2817.446
2016-11-11	214	2786.9466
2016-11-14	215	2794.7387
2016-11-15	216	2775.2105
2016-11-16	217	2800.1662
2016-11-17	218	2819.5147
2016-11-18	219	2792.147
2016-11-21	220	2752.4079
2016-11-22	221	2741.0778
2016-11-23	222	2724.2094
2016-11-24	223	2712.7994
2016-11-25	224	2699.027
2016-11-28	225	2724.7312
2016-11-29	226	2716.8301
2016-11-30	227	2707.3898
2016-12-01	228	2718.1545
2016-12-02	229	2724.5725
2016-12-05	230	2756.1441
2016-12-06	231	2796.1627
2016-12-07	232	2801.2932
2016-12-08	233	2791.9572
2016-12-09	234	2773.6354
2016-12-12	235	2732.6011
2016-12-13	236	2773.0928
2016-12-14	237	2770.1458
2016-12-15	238	2800.1614
2016-12-16	239	2740.0418
2016-12-19	240	2748.7803
2016-12-20	241	2750.9947
2016-12-21	242	2743.4007
2016-12-22	243	2754.2042
2016-12-23	244	2745.3112
2016-12-26	245	2743.8264
2016-12-27	246	2754.1483
2016-12-28	247	2783.6625
2016-12-29	248	2797.1574
2016-12-30	249	2842.2604
2017-01-05	250	2785.8822
2017-01-06	251	2760.3684
2017-01-10	252	2861.2462
2017-01-11	253	2872.8326
2017-01-12	254	2847.6993
2017-01-13	255	2910.2015
2017-01-16	256	2949.8168
2017-01-17	257	2936.8201
2017-01-18	258	2951.967
2017-01-19	259	2931.7325
2017-01-20	260	2927.5295
2017-01-23	261	2916.1971
2017-01-24	262	2928.6773
2017-01-25	263	2926.8848
2017-01-26	264	2922.9702
2017-01-27	265	2911.7993
2017-01-30	266	2904.4034
2017-01-31	267	2882.7535
2017-02-01	268	2912.404
2017-02-02	269	2913.1474
2017-02-03	270	2916.7527
2017-02-06	271	2908.4453
2017-02-07	272	2920.384
2017-02-08	273	2885.6547
2017-02-09	274	2870.218
2017-02-10	275	2889.5283
2017-02-13	276	2891.8143
2017-02-14	277	2887.3795
2017-02-15	278	2892.692
2017-02-16	279	2849.1748
2017-02-17	280	2874.8346
2017-02-20	281	2878.2837
2017-02-21	282	2869.0057
2017-02-22	283	2849.472
2017-02-23	284	2835.6578
2017-02-24	285	2844.8016
2017-02-27	286	2861.9442
2017-02-28	287	2864.1723
2017-03-01	288	2878.5388
